States/UTs,Category,Total geographical area,Reporting area for land utilization,Forests,Not available for cultivation,Permanent pastures and other grazing lands,Land under miscellaneous tree crops & groves,Culturable wasteland,Fallow lands other than current fallows,Current fallows,Net area sown
Mahrashtra,Percentage to Geographical Area,NA,100,16.95,10.18,4.07,0.81,2.97,3.9,4.31,56.81
Manipur,Area,2233,1951,1693,27,1,6,1,0,0,224
Manipur,Percentage to Geographical Area,NA,100,86.78,1.38,0.05,0.31,0.05,0,0,11.48
Meghalaya,Area,2243,2227,942,228,0,158,450,169,68,213
Meghalaya,Percentage to Geographical Area,NA,100,42.3,10.24,0,7.09,20.21,7.59,3.05,9.56
Mizoram,Area,2108,1946,1594,134,5,10,5,82,24,92
Mizoram,Percentage to Geographical Area,NA,100,81.91,6.89,0.26,0.51,0.26,4.21,1.23,4.73
Nagaland,Area,1658,1595,863,75,0,120,57,76,82,322
Nagaland,Percentage to Geographical Area,NA,100,54.11,4.7,0,7.52,3.57,4.76,5.14,20.19
Odisha,Area,15571,15571,5813,1842,443,482,392,434,426,5739
Odisha,Percentage to Geographical Area,NA,100,37.33,11.83,2.85,3.1,2.52,2.79,2.74,36.86
Punjab,Area,5036,5033,308,450,4,4,9,0,13,4243
Punjab,Percentage to Geographical Area,NA,100,6.12,8.94,0.08,0.08,0.18,0,0.26,84.3
Rajasthan,Area,34224,34265,2698,4262,1706,20,4611,2265,1939,16764
Rajasthan,Percentage to Geographical Area,NA,100,7.87,12.44,4.98,0.06,13.46,6.61,5.66,48.92
Sikkim,Area,710,728,319,250,4,5,2,30,5,112
Sikkim,Percentage to Geographical Area,NA,100,43.82,34.34,0.55,0.69,0.27,4.12,0.69,15.38
Tamil Nadu,Area,13006,13027,2106,2662,110,268,354,1493,907,5126
Tamil Nadu,Percentage to Geographical Area,NA,100,16.17,20.43,0.84,2.06,2.72,11.46,6.96,39.35
Tripura,Area,1049,1049,606,134,0,27,1,1,1,280
Tripura,Percentage to Geographical Area,NA,100,57.77,12.77,0,2.57,0.1,0.1,0.1,26.69
Uttar Pradesh,Area,24093,24201,1654,3215,65,376,439,550,1270,16633
Uttar Pradesh,Percentage to Geographical Area,NA,100,6.83,13.28,0.27,1.55,1.81,2.27,5.25,68.73
Uttarakhand,Area,5348,5666,3465,467,230,249,384,62,42,768
Uttarakhand,Percentage to Geographical Area,NA,100,61.15,8.24,4.06,4.39,6.78,1.09,0.74,13.55
West Bengal,Area,8875,8684,1174,1754,5,58,34,22,341,5296
West Bengal,Percentage to Geographical Area,NA,100,13.52,20.2,0.06,0.67,0.39,0.25,3.93,60.99
Andaman & Nicobar Islands,Area,825,795,717,25,6,18,12,3,1,13
Andaman & Nicobar Islands,Percentage to Geographical Area,NA,100,90.19,3.14,0.75,2.26,1.51,0.38,0.13,1.64
Chandigarh,Area,11,7,0,5,0,0,0,0,0,0
Chandigarh,Percentage to Geographical Area,NA,100,0,71.43,0,0,0,0,0,0
Dadra & Nagar Haveli,Area,49,49,20,4,1,0,0,1,1,22
Dadra & Nagar Haveli,Percentage to Geographical Area,NA,100,40.82,8.16,2.04,0,0,2.04,2.04,44.9
Daman & Diu,Area,11,3,NA,0,NA,0,0,NA,NA,3
Daman & Diu,Percentage to Geographical Area,100,0,NA,0,NA,0,0,NA,NA,100
Lakshwadeep,Area,3,3,0,0,NA,NA,NA,NA,NA,3
Lakshwadeep,Percentage to Geographical Area,NA,100,0,0,NA,NA,NA,NA,NA,100
Puducherry,Area,48,49,0,18,0,1,4,3,2,20
Puducherry,Percentage to Geographical Area,NA,100,0,36.73,0,2.04,8.16,6.12,4.08,40.82
